year,country,iso,ifs,pop,rgdpmad,rgdppc,rconpc,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,hpnom,debtgdp,revenue,expenditure,xrusd,tloans,tmort,thh,tbus,lev,ltd,noncore,crisisJST,crisisJST_old,peg,peg_strict,peg_type,peg_base,JSTtrilemmaIV,JSTtrilemmaIV_R,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr
1870,Australia,AUS,193,1775,3273,14,21,209,0,3,-6,36,37,23,54,5,5,0,0,,,0,55,2,,,25.02,119.83,32.93,0,0,1,1,PEG,GBR,,,0,,,0,,,,,,0,0,,,,0,0,,,
1871,Australia,AUS,193,1675,3299,14,20,212,0,3,5,34,46,27,60,5,5,0,0,,,0,54,2,,,23.98,107.04,30.21,0,0,1,1,PEG,GBR,0,,0,,,0,,,0,,,0,0,,,,0,0,,,
1872,Australia,AUS,193,1722,3553,15,21,227,0,3,8,38,53,36,69,5,5,0,0,,,0,56,1,,,22.45,94.91,26.86,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1873,Australia,AUS,193,1769,3824,16,23,267,0,3,-11,49,50,39,74,4,5,0,0,,,0,65,1,,,21.00,101.71,28.65,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1874,Australia,AUS,193,1822,3835,16,23,288,0,3,-6,49,54,38,79,5,5,1,0,,,0,71,1,,,20.97,102.08,28.30,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1875,Australia,AUS,193,1874,4138,18,26,301,0,3,-8,50,52,38,89,5,5,1,0,,,0,80,2,,,19.60,101.91,28.05,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1876,Australia,AUS,193,1929,4007,17,25,311,0,3,-7,48,51,38,96,5,5,1,0,,,0,86,2,,,18.57,100.69,28.13,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1877,Australia,AUS,193,1995,4036,17,25,314,0,3,-15,52,51,40,106,5,4,1,0,,,0,101,2,,,18.74,106.31,24.98,0,0,1,1,PEG,GBR,0,0,0,,,0,,,0,,,0,0,,,,0,0,,,
1878,Australia,AUS,193,2062,4277,18,27,324,0,3,-16,52,50,39,106,5,4,1,0,,,0,107,3,,,19.20,112.32,27.42,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1879,Australia,AUS,193,2127,4205,18,27,334,0,3,-12,48,44,37,108,5,5,1,0,,,0,103,3,,,19.33,105.52,26.23,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1880,Australia,AUS,193,2197,4285,18,26,344,0,3,1,46,59,45,115,5,4,1,0,,,0,94,3,,,18.61,90.80,28.28,0,0,1,1,PEG,GBR,1,0,0,,,0,,,0,,,0,0,,,,0,0,,,
1881,Australia,AUS,193,2269,4455,19,28,363,0,3,-21,58,54,57,134,5,4,1,0,,,0,116,4,,,16.56,93.85,27.51,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1882,Australia,AUS,193,2348,4063,17,27,382,0,3,-30,72,57,56,149,5,4,1,0,,,0,144,4,,,16.00,103.80,25.79,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1883,Australia,AUS,193,2447,4475,19,29,412,0,3,-27,71,63,52,156,5,4,1,0,,,0,156,5,,,16.14,108.95,28.74,0,0,1,1,PEG,GBR,0,0,0,,,0,,,0,,,0,0,,,,0,0,,,
1884,Australia,AUS,193,2556,4304,18,28,430,0,3,-32,74,55,57,172,5,4,1,0,,,0,167,5,,,15.11,104.59,29.72,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1885,Australia,AUS,193,2650,4422,19,29,442,0,3,-48,80,53,62,183,5,4,1,0,,,0,184,5,,,14.57,108.19,31.56,0,0,1,1,PEG,GBR,0,0,0,,,0,,,0,,,0,0,,,,0,0,,,
1886,Australia,AUS,193,2741,4329,18,29,453,0,3,-44,68,42,59,186,5,4,1,0,,,0,191,6,,,14.80,109.59,31.63,0,0,1,1,PEG,GBR,0,0,0,,,0,,,0,,,0,0,,,,0,0,,,
1887,Australia,AUS,193,2835,4632,20,30,473,0,3,-30,59,48,66,200,5,4,1,0,,,0,199,6,,,14.38,105.95,31.47,0,0,1,1,PEG,GBR,0,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1888,Australia,AUS,193,2932,4504,19,29,503,0,3,-44,74,58,75,219,5,3,1,0,,,0,231,7,,,13.59,111.79,33.09,0,0,1,1,PEG,GBR,0,0,0,,,0,,,0,,,0,0,,,,0,0,,,
1889,Australia,AUS,193,3022,4747,20,30,536,0,3,-41,73,59,72,228,5,3,1,0,,,0,248,8,,,13.85,114.70,33.37,0,0,1,1,PEG,GBR,0,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1890,Australia,AUS,193,3107,4458,19,28,553,0,3,-43,72,56,74,237,4,4,1,0,,,0,260,10,,,13.35,115.31,35.03,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1891,Australia,AUS,193,3196,4666,20,29,540,0,3,-28,75,79,70,239,4,4,1,0,,,0,264,10,,,12.58,116.21,34.05,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1892,Australia,AUS,193,3274,3995,17,24,496,0,3,-15,60,69,67,241,4,4,1,0,,,0,262,10,,,12.08,114.11,33.45,0,0,1,1,PEG,GBR,-1,-2,0,,,0,,,0,,,0,0,,,,0,0,,,
1893,Australia,AUS,193,3334,3708,16,21,431,0,3,4,48,72,61,218,4,4,1,1,,,0,235,10,,,13.86,113.63,33.14,1,1,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1894,Australia,AUS,193,3395,3766,16,21,401,0,2,0,46,69,65,217,4,4,0,1,,,0,223,10,,,14.63,108.19,32.26,0,0,1,1,PEG,GBR,-1,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1895,Australia,AUS,193,3460,3487,15,19,386,0,2,-12,59,73,74,222,4,3,0,1,,,0,208,9,,,15.06,97.96,28.99,0,0,1,1,PEG,GBR,0,-1,0,,,0,,,0,,,0,0,,,,0,0,,,
1896,Australia,AUS,193,3523,3685,16,22,401,0,2,-15,64,76,81,226,3,3,0,1,,,0,206,9,,,14.98,95.15,28.74,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1897,Australia,AUS,193,3586,3420,14,18,418,0,2,-12,63,82,80,223,3,3,1,1,,,0,197,9,,,14.52,92.40,27.90,0,0,1,1,PEG,GBR,0,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1898,Australia,AUS,193,3642,3891,17,22,441,0,2,-24,83,88,79,220,3,3,1,1,,,0,184,9,,,14.37,88.68,27.12,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1899,Australia,AUS,193,3691,3840,16,22,478,0,2,11,69,104,89,233,3,3,0,1,,,0,179,10,,,13.39,79.96,24.62,0,0,1,1,PEG,GBR,1,1,0,,,0,,,0,,,0,0,,,,0,0,,,
1900,Australia,AUS,193,3741,4013,17,24,492,0,2,-14,85,98,90,243,3,3,1,1,,,0,181,10,,,13.11,77.66,25.04,0,0,1,1,PEG,GBR,0,0,0,,0,0,,,0,,,0,0,,,,0,0,,,0
1901,Australia,AUS,193,3795,3839,16,23,505,0,2,-20,81,98,94,251,3,3,1,0,,,0,183,10,,,13.09,76.19,23.64,0,0,1,1,PEG,GBR,-1,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1902,Australia,AUS,193,3850,3823,16,23,535,0,3,-20,77,85,94,257,3,3,1,0,22,8,0,182,11,,,13.24,73.63,21.56,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1903,Australia,AUS,193,3896,4076,17,24,515,0,3,-25,71,94,93,256,3,4,1,0,24,9,0,184,12,,,13.29,75.29,22.11,0,0,1,1,PEG,GBR,0,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1904,Australia,AUS,193,3946,4295,18,25,539,0,3,4,67,113,90,258,3,4,1,0,24,9,0,182,12,,,12.63,74.02,22.93,0,0,1,1,PEG,GBR,-1,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1905,Australia,AUS,193,4004,4282,18,25,535,0,3,30,70,110,92,271,3,4,1,0,22,9,0,178,12,,,11.93,67.75,23.56,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1906,Australia,AUS,193,4062,4507,19,24,577,0,3,39,81,135,101,293,3,3,1,0,24,10,0,182,12,,,11.43,63.63,23.39,0,0,1,1,PEG,GBR,1,2,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1907,Australia,AUS,193,4127,4616,20,27,648,0,3,42,94,143,113,313,3,4,1,0,26,12,0,195,12,,,11.48,63.31,22.12,0,0,1,1,PEG,GBR,0,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1908,Australia,AUS,193,4197,4693,20,26,645,0,3,26,91,127,112,324,3,4,1,0,30,13,0,207,12,,,11.37,65.56,20.96,0,0,1,1,PEG,GBR,-2,-2,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1909,Australia,AUS,193,4278,4981,21,25,690,0,3,13,93,128,113,338,3,4,1,0,28,15,0,203,14,,,11.09,61.66,21.54,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1910,Australia,AUS,193,4375,5210,22,25,750,0,3,24,109,147,130,368,3,4,1,0,32,26,0,208,14,,,10.82,57.10,21.72,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1911,Australia,AUS,193,4500,5104,22,28,824,0,3,16,122,156,147,411,3,4,1,0,38,30,0,232,14,,,10.60,57.26,19.09,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1912,Australia,AUS,193,4661,5098,22,27,884,0,3,-36,142,155,151,435,3,4,1,0,42,34,0,257,18,,,10.77,59.45,15.75,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1913,Australia,AUS,193,4821,5157,22,28,966,0,3,-42,145,154,143,440,3,5,1,0,44,36,0,247,21,,,11.06,55.85,18.12,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1914,Australia,AUS,193,4933,5027,21,27,1040,0,3,-22,,,159,479,3,4,1,0,44,64,0,253,22,,,10.80,52.71,17.63,0,0,0,0,FLOAT,HYBRID,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1915,Australia,AUS,193,4971,4897,21,25,1009,0,4,-83,116,116,164,507,3,5,1,0,44,128,0,257,23,,,10.44,50.20,17.54,0,0,0,0,FLOAT,HYBRID,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1916,Australia,AUS,193,4955,4878,21,25,1167,0,4,-139,140,128,208,557,4,5,1,0,62,162,0,289,22,,,9.49,52.12,21.24,0,0,0,0,FLOAT,HYBRID,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1917,Australia,AUS,193,4950,4791,20,22,1231,0,4,-30,138,173,245,614,4,5,1,1,68,174,0,276,28,,,9.27,45.87,18.99,0,0,0,0,FLOAT,HYBRID,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1918,Australia,AUS,193,5032,4602,20,21,1279,0,4,-59,111,150,261,659,4,5,1,1,74,214,0,321,40,,,8.48,47.74,22.58,0,0,0,0,FLOAT,HYBRID,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1919,Australia,AUS,193,5193,4716,20,23,1379,0,5,-135,173,214,277,728,4,6,1,1,90,194,0,383,28,,,8.57,53.55,19.32,0,0,0,0,FLOAT,HYBRID,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1920,Australia,AUS,193,5358,4766,20,23,1509,0,5,46,180,288,308,778,4,6,1,1,106,186,1,351,29,,,8.80,45.95,20.44,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1921,Australia,AUS,193,5461,4911,21,24,1664,0,5,-288,298,254,301,815,4,7,1,1,132,156,1,413,27,,,8.76,51.93,23.88,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1922,Australia,AUS,193,5574,5064,22,24,1659,0,4,-10,188,248,297,838,4,6,1,1,128,142,0,397,33,,,9.31,48.33,22.54,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1923,Australia,AUS,193,5697,5192,22,26,1818,0,4,-136,240,232,302,891,4,6,1,1,128,150,0,439,36,,,9.55,49.82,20.14,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1924,Australia,AUS,193,5819,5417,23,29,1889,0,4,-170,256,234,307,896,4,6,1,1,130,150,0,462,44,,,10.01,52.16,21.17,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1925,Australia,AUS,193,5943,5553,24,30,2074,0,5,-40,266,322,304,923,4,5,1,1,136,164,0,464,50,,,10.60,50.48,21.79,0,0,1,1,PEG,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1926,Australia,AUS,193,6064,5573,24,30,1998,0,5,-151,274,288,316,969,4,5,1,1,140,164,0,500,51,,,10.59,51.58,21.10,0,0,1,1,PEG,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1927,Australia,AUS,193,6188,5544,24,30,2082,0,5,-252,298,266,311,997,4,5,1,1,152,178,0,555,56,,,10.71,55.80,20.94,0,0,1,1,PEG,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1928,Australia,AUS,193,6304,5452,23,29,2094,0,5,-184,268,276,301,1032,4,5,1,1,148,170,0,539,65,,,11.81,52.47,15.74,0,0,1,1,PEG,HYBRID,0,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1929,Australia,AUS,193,6396,5263,22,28,2062,0,5,-181,260,278,302,1080,5,5,1,1,150,168,0,598,72,,,11.64,55.43,15.65,0,0,1,1,PEG,HYBRID,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1930,Australia,AUS,193,6469,4708,20,29,1886,0,4,-318,238,196,248,1027,5,6,1,1,154,164,1,633,77,,,12.41,61.99,16.11,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1931,Australia,AUS,193,6527,4354,19,24,1550,0,4,-61,124,180,242,996,6,7,1,1,140,148,1,583,75,,,12.95,60.74,17.97,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1932,Australia,AUS,193,6579,4564,19,23,1457,0,4,49,102,192,255,1061,4,5,1,1,144,142,1,555,73,,,12.10,53.83,15.41,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1933,Australia,AUS,193,6631,4842,21,25,1522,0,4,6,130,196,251,1064,3,4,1,1,148,146,1,553,70,,,11.96,53.16,16.76,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1934,Australia,AUS,193,6682,5060,22,26,1633,0,4,31,136,228,286,1123,2,4,1,1,148,158,1,555,67,,,11.46,50.37,16.92,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1935,Australia,AUS,193,6732,5318,23,26,1724,0,4,-68,166,208,297,1135,2,3,1,1,154,160,1,587,65,,,11.77,52.82,14.38,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1936,Australia,AUS,193,6783,5516,24,28,1895,0,4,-44,190,248,313,1156,2,4,1,1,164,168,1,607,64,,,11.60,53.64,15.30,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1937,Australia,AUS,193,6841,5746,25,29,2068,0,4,36,206,296,341,1226,2,4,1,1,166,180,1,609,64,,,10.97,50.63,16.40,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1938,Australia,AUS,193,6904,5886,25,29,2236,0,4,-98,254,284,354,1282,2,4,1,1,178,196,1,671,64,,,10.87,53.39,14.39,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1939,Australia,AUS,193,6971,5846,25,26,2190,0,4,-99,226,246,358,1295,2,4,1,1,190,280,1,695,66,,,10.85,54.88,14.74,0,0,0,0,FLOAT,HYBRID,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1940,Australia,AUS,193,7042,6166,26,24,2384,0,5,-105,264,300,451,1400,2,3,1,1,224,510,1,718,67,,,10.35,53.66,15.49,0,0,1,1,PEG,GBR,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1941,Australia,AUS,193,7111,6788,29,24,2583,0,5,-148,248,270,500,1483,2,3,1,1,300,846,1,689,64,,,9.86,48.77,16.56,0,0,1,1,PEG,GBR,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1942,Australia,AUS,193,7173,7505,32,24,3007,0,5,-142,340,320,648,1654,2,3,1,1,420,1394,1,678,61,,,8.88,44.94,21.28,0,0,1,1,PEG,GBR,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1943,Australia,AUS,193,7236,7703,33,22,3442,0,5,-92,488,252,889,2161,1,3,2,1,588,1440,1,602,55,,,7.16,31.18,21.38,0,0,1,1,PEG,GBR,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1944,Australia,AUS,193,7309,7362,32,20,3498,0,5,368,486,294,1147,2661,1,3,2,1,684,1286,1,567,50,,,5.97,24.44,24.27,0,0,1,1,PEG,GBR,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1945,Australia,AUS,193,7389,6917,30,23,3422,0,5,272,428,310,1253,3004,,3,2,1,754,1102,1,548,45,,,5.40,20.52,23.00,0,0,1,1,PEG,GBR,,,0,0,0,,,,0,0,0,0,0,,,,0,0,,0,
1946,Australia,AUS,193,7474,6595,28,23,3534,0,6,100,356,394,1325,3004,,3,2,1,782,960,1,,,,,,,,0,0,1,1,PEG,GBR,,,0,0,0,,,,0,0,0,0,0,,,,0,0,,0,
1947,Australia,AUS,193,7578,6664,28,28,3758,,6,-91,416,618,1395,3046,,3,2,1,862,956,1,,,,,,,,0,0,1,1,PEG,GBR,,,0,0,0,,,,0,0,0,0,0,,,,0,0,,0,
1948,Australia,AUS,193,7715,6967,30,31,4512,,6,13,832,1023,1539,3218,2,3,2,1,932,1100,1,861,,,,,,,0,0,1,1,PEG,GBR,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1949,Australia,AUS,193,7919,7237,31,33,5207,0,7,62,1002,1069,2133,3523,2,3,2,1,1077,1246,1,981,,,,,,,0,0,1,1,PEG,GBR,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1950,Australia,AUS,193,8267,7412,32,34,6145,0,8,-56,1404,1489,2729,4095,2,3,4,1,1160,1784,1,1201,,,,,38.29,,0,0,1,1,PEG,GBR,0,0,0,1,0,0,,,1,0,0,0,0,,,,0,0,1,1,0
1951,Australia,AUS,193,8511,7507,32,33,8152,0,9,-415,2118,1820,2639,4871,2,4,4,0,1620,2144,1,1490,,,,3.33,36.91,10.85,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1952,Australia,AUS,193,8691,7418,32,33,8797,0,11,-390,1753,1544,2639,4819,2,4,4,0,2058,2188,1,1548,204,285,1264,3.86,46.03,8.89,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1953,Australia,AUS,193,8858,7505,32,31,9969,0,11,342,1292,1801,2963,5157,3,4,4,0,2029,2182,1,1670,279,361,1309,4.09,36.95,3.17,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1954,Australia,AUS,193,9064,7791,33,33,10886,0,11,-342,1653,1497,3129,5600,3,4,4,0,2085,2260,1,1961,325,430,1531,4.20,40.63,4.11,0,0,1,1,PEG,GBR,0,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1955,Australia,AUS,193,9277,8027,34,35,11595,0,11,-551,1910,1596,3159,5766,4,5,4,0,2184,2416,1,2300,353,464,1836,4.44,46.40,4.94,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1956,Australia,AUS,193,9501,8108,35,35,12551,0,12,-210,1726,1701,3090,5817,5,5,5,0,2346,2722,1,2305,390,487,1818,4.70,46.01,4.90,0,0,1,1,PEG,GBR,1,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1957,Australia,AUS,193,9713,8090,35,34,13659,0,12,94,1713,1991,3239,6207,5,5,5,0,2588,2766,1,2298,433,531,1767,4.43,42.71,4.08,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1958,Australia,AUS,193,9915,8305,36,35,13976,0,13,-494,1800,1486,3179,6354,4,5,5,0,2758,2780,1,2512,488,601,1911,4.59,45.57,4.67,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1959,Australia,AUS,193,10132,8628,37,36,15011,0,13,-313,1865,1792,3274,6677,4,5,6,0,2736,2996,1,2525,559,680,1845,4.38,43.41,4.21,0,0,1,1,PEG,GBR,-1,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1960,Australia,AUS,193,10361,8791,38,38,16591,0,13,-791,2377,1830,3522,7192,4,5,6,0,3030,3360,1,2809,593,738,2071,4.08,44.69,5.44,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1961,Australia,AUS,193,10599,8653,39,38,17543,0,14,-189,2115,2109,3293,7301,5,5,6,0,3408,3466,1,2910,669,790,2120,4.10,45.53,4.95,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1962,Australia,AUS,193,10795,9027,38,38,17745,0,14,-335,2268,2104,3379,7846,4,5,6,0,3436,3544,1,3029,741,890,2139,3.91,43.82,5.45,0,0,1,1,PEG,GBR,-1,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1963,Australia,AUS,193,11001,9400,40,39,19192,0,14,-186,2479,2504,3464,8517,4,5,7,0,3539,3960,1,3328,866,1039,2289,3.85,44.04,5.27,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1964,Australia,AUS,193,11218,9849,42,41,21210,0,14,-425,2963,2726,3732,9556,4,5,8,0,3950,4348,1,3689,1089,1289,2400,3.73,43.02,5.35,0,0,1,1,PEG,GBR,1,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1965,Australia,AUS,193,11439,10152,44,42,23154,0,15,-1003,3359,2683,3791,10337,5,5,8,0,4592,4819,1,4256,1293,1499,2757,3.67,45.54,5.20,0,0,1,1,PEG,GBR,1,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1966,Australia,AUS,193,11655,10241,46,43,24329,0,15,-638,3225,2831,3816,11139,5,5,8,0,4754,5376,1,4697,1483,1714,2983,3.54,47.17,5.55,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1967,Australia,AUS,193,11872,10733,47,45,27142,0,16,-831,3504,3105,4074,12142,5,5,9,0,5019,5961,1,5297,1690,1970,3327,3.52,49.35,6.41,0,0,1,1,PEG,USA,-1,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1968,Australia,AUS,193,12102,11148,50,47,29167,0,16,-1218,3898,3148,4414,12996,5,5,9,0,5608,6284,1,6012,1910,2210,3802,3.45,51.76,6.81,0,0,1,1,PEG,USA,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1969,Australia,AUS,193,12379,11561,52,48,32706,0,16,-801,4052,3768,4750,14234,5,6,10,0,6248,7040,1,6621,2140,2446,4175,3.50,52.26,7.53,0,0,1,1,PEG,USA,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1970,Australia,AUS,193,12660,12024,53,49,36851,0,17,-704,4515,4259,4985,14963,5,7,11,0,7160,7770,1,7231,2339,2689,4542,3.78,53.85,9.39,0,0,1,1,PEG,USA,-1,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1971,Australia,AUS,193,12937,12290,53,50,40314,0,18,-692,4613,4599,5312,16268,5,7,12,0,8039,8630,1,7904,2568,2950,4954,3.52,55.38,11.31,0,0,1,1,PEG,USA,-1,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1972,Australia,AUS,193,13177,12404,54,51,44484,0,19,376,4217,5419,5796,19467,4,6,14,0,9811,9740,1,8752,2858,3359,5393,3.33,55.46,12.01,0,0,1,1,PEG,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1973,Australia,AUS,193,13380,12878,56,53,49748,0,21,282,5177,6719,7285,23637,5,7,16,0,10757,11200,1,11107,3317,4221,6886,3.09,56.40,11.70,0,0,1,1,PEG,USA,2,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1974,Australia,AUS,193,13599,12985,55,54,60272,0,24,-2112,8358,7685,7451,25298,9,9,20,0,13746,15700,1,14279,4007,5132,9147,3.13,64.04,14.25,0,0,1,1,PEG,USA,1,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1975,Australia,AUS,193,13771,13170,56,54,71159,0,28,-804,8173,9123,8389,30817,8,10,22,0,17802,20400,1,16496,5146,6474,10022,2.85,64.07,15.73,0,0,1,0,PEG,USA,-2,-1,1,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1976,Australia,AUS,193,13916,13559,57,56,83234,0,31,-1786,9999,10774,9572,39500,8,10,25,0,21504,23300,1,19327,6600,8069,11258,2.78,64.62,15.66,0,0,1,0,PEG,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1977,Australia,AUS,193,14074,13546,57,57,96074,0,35,-2699,12186,12050,10377,42872,9,10,27,0,24935,26200,1,22414,7724,9767,12648,3.02,65.86,16.61,0,0,1,0,PEG,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
